油菜,1.20,1.40,1.60,鲁京,斤,2021-04-03
姜,3.00,4.00,5.00,姜头新,斤,2021-04-03
大蒜,2.50,2.75,3.00,普通,斤,2021-04-03
新蒜,2.00,2.25,2.50,普通,斤,2021-04-03
西葫芦,1.00,1.25,1.50,滇鲁,斤,2021-04-03
菜花,1.50,1.75,2.00,云,斤,2021-04-03
散菜花,1.50,2.00,2.50,豫苏,斤,2021-04-03
绿菜花,1.80,2.05,2.30,浙 云,斤,2021-04-03
胡萝卜,0.70,1.05,1.40,冀鲁,斤,2021-04-03
胡萝卜（洗）,1.00,1.20,1.40,冀闽箱,斤,2021-04-03
心里美,1.00,1.15,1.30,冀,斤,2021-04-03
白萝卜,0.40,0.50,0.60,川,斤,2021-04-03
卞萝卜,0.30,0.35,0.40,冀,斤,2021-04-03
青萝卜,1.80,2.00,2.20,冀津,斤,2021-04-03
平菇,2.00,2.25,2.50,小叶,斤,2021-04-03
莴笋,1.00,1.30,1.60,闽浙鲁,斤,2021-04-03
香菇,2.50,3.50,4.50,普通,斤,2021-04-03
香菜,2.50,3.00,3.50,鲁冀,斤,2021-04-03
山药,1.80,2.10,2.40,脆麻新,斤,2021-04-03
